CCAA de destino,Países,Trimestre,Total gasto,Total turistas,Dias estancia media
"Balears, Illes",Reino Unido,2022T1,"58184794,40","72879,00","7,83"
"Balears, Illes",Reino Unido,2021T4,"149775032,10","222980,00","7,77"
"Balears, Illes",Reino Unido,2021T3,"485675745,68","769228,00","7,30"
"Balears, Illes",Reino Unido,2021T2,"61273347,66","23235,00","10,20"
"Balears, Illes",Reino Unido,2021T1,"10531101,96","10171,00","13,03"
"Balears, Illes",Reino Unido,2020T4,"20018919,38","25117,00","16,23"
"Balears, Illes",Reino Unido,2020T3,"129638460,75","127223,00","9,87"
"Balears, Illes",Reino Unido,2020T2,"0,00","9117,00","17,17"
"Balears, Illes",Reino Unido,2020T1,"36641242,88","53213,00","8,30"
"Balears, Illes",Rumanía,2023T2,"7686344,79","11668,00","6,23"
"Balears, Illes",Rumanía,2023T1,"1721714,92","1914,00","8,10"
"Balears, Illes",Rumanía,2022T4,"2899478,66","4517,00","7,87"
"Balears, Illes",Rumanía,2022T3,"11661176,11","20225,00","6,63"
"Balears, Illes",Rumanía,2022T2,"7171952,53","10544,00","6,73"
"Balears, Illes",Rumanía,2022T1,"1421617,47","1054,00","9,23"
"Balears, Illes",Rumanía,2021T4,"2063715,69","3208,00","8,37"
"Balears, Illes",Rumanía,2021T3,"7298788,21","11466,00","7,57"
"Balears, Illes",Rumanía,2021T2,"2205148,88","2809,00","7,50"
"Balears, Illes",Rumanía,2021T1,"224068,16","674,00","8,77"
"Balears, Illes",Rumanía,2020T4,"280121,29","824,00","10,70"
"Balears, Illes",Rumanía,2020T3,"1616606,98","3576,00","9,33"
"Balears, Illes",Rumanía,2020T2,"0,00","826,00","10,90"
"Balears, Illes",Rumanía,2020T1,"722456,41","1825,00","10,20"
"Balears, Illes",Rusia,2023T2,"0,00","2270,00","7,07"
"Balears, Illes",Rusia,2023T1,"0,00","641,00","8,67"
"Balears, Illes",Rusia,2022T4,"0,00","1218,00","8,17"
"Balears, Illes",Rusia,2022T3,"0,00","3991,00","7,40"
"Balears, Illes",Rusia,2022T2,"0,00","1557,00","7,47"
"Balears, Illes",Rusia,2022T1,"4190338,60","581,00","8,70"
"Balears, Illes",Rusia,2021T4,"3883892,47","1107,00","7,13"
"Balears, Illes",Rusia,2021T3,"10483504,87","2456,00","7,33"
"Balears, Illes",Rusia,2021T2,"4449946,73","935,00","6,33"
"Balears, Illes",Rusia,2021T1,"921840,37","537,00","7,27"
"Balears, Illes",Rusia,2020T4,"1215056,71","534,00","9,07"
"Balears, Illes",Rusia,2020T3,"4732298,25","1137,00","9,83"
"Balears, Illes",Rusia,2020T2,"0,00","523,00","8,63"
"Balears, Illes",Rusia,2020T1,"3743505,42","2387,00","5,73"
