RESIDENCIA/ORIGEN;Continentes;Países;Concepto turístico;CCAA de destino;Periodo;Total
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M09;6,1
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M08;6,2
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M07;5,9
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M06;5,5
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M05;5,3
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M04;5,6
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M03;6,5
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M02;6,9
Total;Europa;Austria;Duración media de los viajes;Balears, Illes;2023M01;7,8
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M09;8,5
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M08;8,9
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M07;8,3
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M06;8,5
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M05;9,2
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M04;8,6
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M03;9,4
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M02;8,8
Total;Europa;Austria;Duración media de los viajes;Canarias;2023M01;8,8
Total;Europa;Belarús;Turistas;Balears, Illes;2023M09;397
Total;Europa;Belarús;Turistas;Balears, Illes;2023M08;394
Total;Europa;Belarús;Turistas;Balears, Illes;2023M07;580
Total;Europa;Belarús;Turistas;Balears, Illes;2023M06;381
Total;Europa;Belarús;Turistas;Balears, Illes;2023M05;218
Total;Europa;Belarús;Turistas;Balears, Illes;2023M04;133
Total;Europa;Belarús;Turistas;Balears, Illes;2023M03;40
Total;Europa;Belarús;Turistas;Balears, Illes;2023M02;.
Total;Europa;Belarús;Turistas;Balears, Illes;2023M01;41
Total;Europa;Belarús;Turistas;Canarias;2023M09;383
Total;Europa;Belarús;Turistas;Canarias;2023M08;317
Total;Europa;Belarús;Turistas;Canarias;2023M07;457
Total;Europa;Belarús;Turistas;Canarias;2023M06;420
Total;Europa;Belarús;Turistas;Canarias;2023M05;394
Total;Europa;Belarús;Turistas;Canarias;2023M04;429
Total;Europa;Belarús;Turistas;Canarias;2023M03;406
Total;Europa;Belarús;Turistas;Canarias;2023M02;422
Total;Europa;Belarús;Turistas;Canarias;2023M01;539
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M09;2.858
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M08;2.797
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M07;4.350
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M06;2.172
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M05;1.199
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M04;758
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M03;204
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M02;.
Total;Europa;Belarús;Pernoctaciones;Balears, Illes;2023M01;275
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M09;3.250
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M08;2.794
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M07;3.807
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M06;3.867
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M05;3.085
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M04;3.786
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M03;3.917
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M02;3.548
Total;Europa;Belarús;Pernoctaciones;Canarias;2023M01;4.332
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M09;7,2
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M08;7,1
Total;Europa;Belarús;Duración media de los viajes;Balears, Illes;2023M07;7,5
