RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;Andorra;Canarias;Turistas;2020M04;.
Total;Europa;Andorra;Canarias;Turistas;2020M03;53
Total;Europa;Andorra;Canarias;Turistas;2020M02;70
Total;Europa;Andorra;Canarias;Turistas;2020M01;71
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M12;478
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M11;841
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M10;1.002
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M09;962
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M08;638
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M07;389
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M06;.
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M05;.
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M04;.
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M03;408
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M02;445
Total;Europa;Andorra;Canarias;Pernoctaciones;2020M01;586
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M12;8,4
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M11;7,7
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M10;8,8
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M09;7,8
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M08;9,2
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M07;9,3
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M06;.
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M05;.
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M04;.
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M03;7,7
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M02;6,4
Total;Europa;Andorra;Canarias;Duración media de los viajes;2020M01;8,3
Total;Europa;Armenia;Balears, Illes;Turistas;2020M12;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M11;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M10;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M09;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M08;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M07;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M06;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M05;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M04;""
Total;Europa;Armenia;Balears, Illes;Turistas;2020M03;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M02;.
Total;Europa;Armenia;Balears, Illes;Turistas;2020M01;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M12;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M11;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M10;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M09;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M08;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M07;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M06;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M05;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M04;""
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M03;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M02;.
Total;Europa;Armenia;Balears, Illes;Pernoctaciones;2020M01;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M12;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M11;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M10;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M09;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M08;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M07;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M06;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M05;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M04;""
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M03;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M02;.
Total;Europa;Armenia;Balears, Illes;Duración media de los viajes;2020M01;.
Total;Europa;Armenia;Canarias;Turistas;2020M12;.
Total;Europa;Armenia;Canarias;Turistas;2020M11;.
Total;Europa;Armenia;Canarias;Turistas;2020M10;.
Total;Europa;Armenia;Canarias;Turistas;2020M09;.
Total;Europa;Armenia;Canarias;Turistas;2020M08;.
Total;Europa;Armenia;Canarias;Turistas;2020M07;.
Total;Europa;Armenia;Canarias;Turistas;2020M06;.
Total;Europa;Armenia;Canarias;Turistas;2020M05;.
Total;Europa;Armenia;Canarias;Turistas;2020M04;.
Total;Europa;Armenia;Canarias;Turistas;2020M03;.
Total;Europa;Armenia;Canarias;Turistas;2020M02;.
Total;Europa;Armenia;Canarias;Turistas;2020M01;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M12;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M11;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M10;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M09;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M08;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M07;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M06;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M05;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M04;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M03;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M02;.
Total;Europa;Armenia;Canarias;Pernoctaciones;2020M01;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M12;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M11;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M10;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M09;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M08;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M07;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M06;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M05;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M04;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M03;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M02;.
Total;Europa;Armenia;Canarias;Duración media de los viajes;2020M01;.
Total;Europa;Austria;Balears, Illes;Turistas;2020M12;3.014
Total;Europa;Austria;Balears, Illes;Turistas;2020M11;3.485
Total;Europa;Austria;Balears, Illes;Turistas;2020M10;3.516
Total;Europa;Austria;Balears, Illes;Turistas;2020M09;4.151
Total;Europa;Austria;Balears, Illes;Turistas;2020M08;11.924
Total;Europa;Austria;Balears, Illes;Turistas;2020M07;10.132
Total;Europa;Austria;Balears, Illes;Turistas;2020M06;1.746
Total;Europa;Austria;Balears, Illes;Turistas;2020M05;1.281
Total;Europa;Austria;Balears, Illes;Turistas;2020M04;620
Total;Europa;Austria;Balears, Illes;Turistas;2020M03;3.280
Total;Europa;Austria;Balears, Illes;Turistas;2020M02;3.930
Total;Europa;Austria;Balears, Illes;Turistas;2020M01;3.893
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M12;44.306
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M11;35.547
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M10;48.521
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M09;45.661
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M08;125.202
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M07;88.148
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M06;13.095
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M05;14.603
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M04;9.362
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M03;40.672
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M02;33.405
Total;Europa;Austria;Balears, Illes;Pernoctaciones;2020M01;31.144
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M12;14,7
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M11;10,2
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M10;13,8
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M09;11,0
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M08;10,5
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M07;8,7
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M06;7,5
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M05;11,4
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M04;15,1
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M03;12,4
Total;Europa;Austria;Balears, Illes;Duración media de los viajes;2020M02;8,5
